,Reader serial number,ID Merchant,Merchant name,State,Business line,Transaction date,ID transaction,Card type,Card brand,TPV,Comission,Txn type,Ubication,Capture,ID Distributor,Payment to distrubutor,MIF
0,SUNMI-GENERIC-ULTRA-READER,405422,Grupetec,Sonora,"Ferreterías, Accesorios y Equipo",2025-09-01 09:38:58,286077493,CREDIT,VISA,580.58,1.0,venta,Nacional,emvf,1291,0.73,0
1,SUNMI-GENERIC-ULTRA-READER,405422,Grupetec,Sonora,"Ferreterías, Accesorios y Equipo",2025-09-01 10:26:11,286085440,CREDIT,VISA,201.49,1.0,venta,Nacional,emvf,1291,0.25,0
2,SUNMI-GENERIC-ULTRA-READER,405422,Grupetec,Sonora,"Ferreterías, Accesorios y Equipo",2025-09-01 11:31:17,286098333,CREDIT,VISA,274.72,1.0,venta,Nacional,emvf,1291,0.34,0
3,SUNMI-GENERIC-ULTRA-READER,405422,Grupetec,Sonora,"Ferreterías, Accesorios y Equipo",2025-09-01 11:56:28,286103619,DEBIT,VISA,164.93,1.0,venta,Nacional,emvf,1291,0.21,0
4,SUNMI-GENERIC-ULTRA-READER,405422,Grupetec,Sonora,"Ferreterías, Accesorios y Equipo",2025-09-01 12:06:06,286105628,CREDIT,MASTERCARD,4288.05,1.0,venta,Nacional,emvf,1291,5.36,0
5,SUNMI-GENERIC-ULTRA-READER,405422,Grupetec,Sonora,"Ferreterías, Accesorios y Equipo",2025-09-01 13:51:11,286129069,DEBIT,VISA,726.16,1.0,venta,Nacional,emvf,1291,0.91,0
6,SUNMI-GENERIC-ULTRA-READER,405422,Grupetec,Sonora,"Ferreterías, Accesorios y Equipo",2025-09-01 14:57:41,286144845,DEBIT,VISA,1369.86,1.0,venta,Nacional,emvf,1291,1.71,0
7,SUNMI-GENERIC-ULTRA-READER,405422,Grupetec,Sonora,"Ferreterías, Accesorios y Equipo",2025-09-01 15:53:41,286158284,DEBIT,MASTERCARD,585.63,1.0,venta,Nacional,emvf,1291,0.73,0
8,SUNMI-GENERIC-ULTRA-READER,405422,Grupetec,Sonora,"Ferreterías, Accesorios y Equipo",2025-09-01 15:56:37,286158937,DEBIT,VISA,1151.62,1.0,venta,Nacional,emvf,1291,1.44,0
9,SUNMI-GENERIC-ULTRA-READER,405422,Grupetec,Sonora,"Ferreterías, Accesorios y Equipo",2025-09-01 16:42:53,286169793,CREDIT,VISA,1069.0,1.0,venta,Nacional,emvf,1291,1.34,0
10,SUNMI-GENERIC-ULTRA-READER,405422,Grupetec,Sonora,"Ferreterías, Accesorios y Equipo",2025-09-01 17:17:40,286178123,CREDIT,MASTERCARD,664.09,1.0,venta,Nacional,emvf,1291,0.83,0
11,SUNMI-GENERIC-ULTRA-READER,405422,Grupetec,Sonora,"Ferreterías, Accesorios y Equipo",2025-09-01 17:35:11,286182369,DEBIT,VISA,533.6,1.0,venta,Nacional,emvf,1291,0.67,0
